"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"1","M0057895-001","W1NLM1-I1NLM1","Tibetan","N","*, ,SLOB DPON CHEN PO PADMA KA RA'I THUGS RJE'I NYING KHU MDOS CHO GA SNA TSOGS BLTO SGRO SA MAS BSGYUR CHEN CHEN DGA' BA'I LTAS MO ZHES BYA BA BZHUGS SO, ,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-70A","26x5.5","30x7","MS",NA,NA,NA,NA,"Uuree"
"2","M0057896-001","W1NLM2-I1NLM2","Tibetan","N","*, ,DPAL GSANG DBANG 'DUS PA'I DBANG GI CHO GA'I tIKKA DBANG DBANG DON DE NYID RAB GSAL YANG DAG GSAL SGRON ME MKHAS PA'I MGUL RGYAN ZHES BYA BA BZHUGS SO, ,","JAM DBYANGS GRAGS PA,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-83B","23.5x5.5","29.5x7","MS",NA,NA,NA,"@083B (CES PA 'DI NI DPON SLOB RIN PO CHE 'JAM DBYANGS GRAGS PA DPAL BZANG PO'I GSUNGS DRI MA MED PA YIN NO,, ,,)","Uuree"
"3","M0057897-001","W1NLM3-I1NLM3","Tibetan","LW","*, ,'PHAGS PA THUGS RJE CHEN PO ZHAL BCU GCIG PA DPAL MO'I LUGS KYI SGRUB THABS SMYUNG BAR GNAS PA'I CHO GA DANG BCAS PA PHAN BDE'I SNANG BA GA SAR DNGOM ZHES BYA BA BZHUGS SO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-51A","23x5.5","30x8","MS",NA,NA,NA,NA,"Uuree"
"4","M0057897-002","W1NLM3-I1NLM3","Tibetan","N","*, ,BSANGS KYI CHO GA DNGOS GRUB KYI GZI 'OD 'BAR BA NGO MTSAR RIN PO CHE'I PHRENG BA ZHES BYA BA BZHUGS SO, ,","CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-27A","23x5.6","30x8","XYL","DPAL 'KHOR BDE CHEN,",NA,NA,"@026B (CES BSANGS KYI CHO GA DNGOS GRUB KYI GZI 'OD 'BAR BA NGO MTSAR RIN PO CHE'I PHRENG BA ZHES BYA BA 'DI NI, RIGS RUS CHO 'BRANG SOGS YON TAN DU MA'I DPAL GYIS MNGON PAR MTHO ZHING, KHYAD PAR RGYAL BA GNYIS PA'I BSTAN PA BSTAN 'DZIN LA MI PHYED PA'I DAD PA DANG LDAN PA, RNAM PAR DPYOD PA'I MIG YANGS GA-YO BAS SHES BYA'I DKYIL 'KHOR MTHA' DAG LA GZIGS PA GSAL BA SOGS, DAM PAS BSNGAGS PA'I YON TAN DANG LDAN PA, LCANG RA NAS SDE BA RIN PO CHE DON GRUB PA RAB RAB BRTAN SKU MCHED KYI BKAS @027A *, ,BSKUL BA LA BRTEN NAS, SDE SNOD 'DZIN PA CHOS KYI RGYAL MTSAN GYIS, DPAL 'KHOR BDE CHEN DU SBYAR BA 'DIS KYANG, PHYOGS DUS THAMS CAD DU DGE BAR GYUR CIG , ,,MANGGA LAm BHA WANTU, ,)","Uuree"
"5","M0057897-003","W1NLM3-I1NLM3","Tibetan","N","*, ,LHA MCHOG RNAMS LA DGA' BAR BYED PA'I BSANGS MCHOD BCU GSUM MU TIG PHRENG BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-22B. [* missing page from 23A*]","23x5.7","30x8","XYL",NA,NA,NA,NA,"Uuree"
"6","M0057897-004","W1NLM3-I1NLM3","Tibetan","N","*, ,SLOB DPON CHEN PO PADMA K'A RA'I ZHABS KYIS MDZAD PA'I 'BUM BSANGS PEngTURYA'I SNGON PO BKRA SHIS 'DOD PA'I RE SKONG MA ZHES BYA BA BZHUGS SO, ,","GRAGS PA BSHAD SGRUB,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-18A","23x5.7","30x8","XYL","DGE LDAN CHOS 'KHOR GLING,",NA,NA,"@017B (ZHES PA 'DI NI LHA MCHOG RNAMS LA BSANGS MCHOD BCU GSUM 'BUL BAR DGOS ZHES DON GNYER CAN MANG POS BSKUL BA'I CHED DU, SNGON GYI MKHAS PA'I DPE RNYING LA GTUGS TE, AA @018A *, ,RING LAS BYUNG BA'I MDO STOD KYI JO NI DGON PO'I SH'AKYA'I DGE SLONG GRAGS PA BSHAD SGRUB KYIS, SA PHYOGS YUL KHAMS THAMS CAD DGA' BAR BYED PA'I PHYIR DU DGE LDAN CHOS 'KHOR GLING DU SBYAR BA'O,, ,, BKRA SHIS PA DANG DGE BA 'PHEL GYUR CIG , ,,)","Uuree"
"7","M0057897-005","W1NLM3-I1NLM3","Tibetan","N","*, ,LUGS GNYIS KYI RGYUD 'DEBS BZHUGS SO, ,","LHAG BSAM BZANG PO,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-4A","23x5.7","30x8","XYL",NA,NA,NA,"@003B (ZHES LUGS GNYIS KYI RGYUD 'DEBS 'DI YANG BSNYUNG BAR GNAS PA'I CHO GA'I ZUR DU SKUL MNYAM 'GA' LA NYE BAR MKHO 'AM SNYAM PA'I LHAG BSAM BZANG POS SBYAR BA'I YI GE PA NI DBU MDZAD DGE SLONG BSTAN PA BKRA SHIS SO,, ,,NGAG GI DBANG PHYUG BLO BZANG @004A *, ,GRAGS PA DANG, ,DBYER MED 'JAM DPAL RDO RJES BZUNG BA, ,BSHAD SGRUB BSTAN 'DZIN BSHES GNYEN DAM PA LA, GSOL BA 'DEBS SO BDAG BRGYUD BYIN GYIS RLOBS,, ,,)","Uuree"
"8","M0057898-001","W1NLM4-I1NLM4","Tibetan","N","*, ,BYANG CHUB LAM GYI RIM PA BRTEN PA'I BLA MA'I RNAL 'BYOR THUN MONG MIN PA NYAMS SU CHO GA SKAL LDAN MGUL RGYAN NOR BU'I 'PHRENG BA ZHES BYA BA BZHUGS SO, ,","DGE SLONG GRAGS PA DAR RGYAS","DGA' LDAN DAR RGYAS GLING",NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-105A","23x5.7","30x8","MS",NA,NA,NA,"@104A *, ,(CES BYANG CHUB LAM GYI RIM PA LA BRTEN PA'I BLA MA'I RNAL 'BYOR THUN MONG MIN PA NYAMS SU CHO GA SKAL LDAN MGUL RGYAN NOR BU'I 'PHRENG BA ZHES BYA BA 'DI NI, RIGS RUS DPAL GYIS MNGON PAR MTHO BA'I CHANG GIS RGYAL PO'I GDUNG BRGYUD BLA MA DKON MCHOG 'A MI PHYED PA'I DAD PA DANG LDAN ZHING LUGS GNYIS LA MKHYEN PA'I SPYAN YANGS PA GUNG HO LO CHE DAR HAN HONG THA'I CI 'PHAGS PA SKYABS KYIS GTZOS PA'I DZA SAG BCU BZHI'I @104B BLA GRA DPON GA-YOG STONG PHRAG DU MA LA SLOB DPON AA BHYA YA KA RA DANG GRUB CHEN MI TRA'I LUGS KYIS RDO RJE 'PHRENG BA'I DBANG DANG, BYANG CHUB LAM RIM DMAR KHRID BDE LAM DANG, LAM GTZO RNAM GSUM, BLA MA MCHOD PA SOGS KYI LUNG 'KHRID 'BUL BAR BYED PA'I DUS SU GUD NYID KYI GR'A TSANG GI DANG SLOB DPON PA PI LIG THU DGE SLONG NGAG DBANG DGE 'DUN, YER TE NI PI SHE RIL THU BLA MA BLO BZANG RDO RJE, DGE BSKOS DAS CHENG PI LEG THU THON DGE SLONG BLO BZANG DGE LEGS YER TE NI DBU MDZAD DGE SLONG BLO BZANG SANGS RGYAS, DGE BSKOS DAS CHING DAR HAN NOD SO AU RGYAN NGAG DBANG, AER TE NI PI LIG THU THON CHOS RGYA MTSO SOGS DANG, GZHAN YANG DGE BSHES DAR HAN BLA MA DGE SLONG TSE BRTEN RDO RJE, AA CHI THU DAR HAN BLA MA DGE SLONG BLO BZANG RAB 'PHEL, AER HEM PI LIG THU SLOB DPON DGE SLONG TSUL KHRIMS, T'A BLA MA DGE SLONG BLO BZANG DOH GRUB, PHI LIG THU T'A BLA MA DGE SLONG BZANG SPYOD, NIG THA PI LIG THU BLA MA DGE SLONG SHES RAB, SHES DAR DGE BSKOS BLO BZANG RDO RJE, PI LIG THU DAR HAN NANG SO DGE SLONG 'JIGS MED, DGE SLONG SKON MCHOG BKRA SHIS, DGE SLONG BKRA SHIS BLO BZANG TSE BRTAN SOGS, DAR TSOGS PA'I GRVA RIGS MANG PO'I THUGS 'DOD BZHIN LA, RANG GI BSOD NAMS GSOG PA'I RGYUR 'GYUR PA'I RKYEN KYIS KYANG NYE BAR BSKUL BAS MTSAMS SBYAR TE, YONGS RDZOGS BSTAN PA'I MNGA' BDAG LCANG SKYA RDO RJE 'CHANG NGAG DBANG BLO BZANG CHOS LDAN DPAL BZANG POS MDZAD PA'I BYANG CHUB LAM GYI RIM PA'I DMIGS RIM MDOR BSDUS 'KHYER BDE'I LTAN NAS, BDAG LA DAM PA DE NYID KYI MKHAS GRUB KUN GYI GTZUG RGYAN RGYAL MA GNYIS PA'I RING LUGS LA CHEN PO BKA' DRIN MNYAM MED DRIN CAN RTZA BA'I BLA MA RDO RJE 'CHANG YE SHES BSTAN PA'I SGRON ME DPAL BZANG POS KHRID GNANG BA'I DUS KYI SNYAN RGYUD MAN NGAG ZHAL SHES LA GZHI BYAS GZHAN NAS KYANG KHA SKOD DGOS PA RNAMS KYIS BRGYAN TE, YONGS 'DZIN @105A *, , DAM PA CHOS BZHIN SPYOD PA SPYI DANG KHYAD PAR THOG MTHA' BAR GSUM DU BKA' DRIN 'GRAN ZLA DANG BRAL BA'I RIGS DANG DKYIL 'KHOR KUN GYI KHYAB BDAG RDO RJE 'CHANG BLO BZANG NOR BU SHES RAB DPAL BZANG PO YAB SRAS KYI BKA' DRIN 'TSO BA DANG, YANG SKOS BYANG PHYOGS BSTAN PA'I BDAG PO RJE BTZUN BLO BZANG DAM PA BLO BZANG THUB BSTAN DBANG PHYUGS 'JIGS MED RGYA MTSO DPAL BZANG PO'I BKA' 'BANGS TH'A SHAL DGE SLONG GRAGS PA RGYA RGYAS SAM MING GZHAN AER TE NI JO BO BLA MA KHRI BA NOM CHI CHOS RJER 'BOD PAS , SHING 'BRUG LO'I HOR ZLA DRUG PA'I TSES BCU GSUM LA DGE SA TSAN BCU LDAN BUR GE 'I MA CHAR DGA' LDAN DAR RGYAS GLING DU SBYAR BA'I YI GE PA NI RNAM DBYOD DANG LDAN PA DGE SLONG DKON MCHOG BKRA SHIS DANG BSOD NAMS DBANG PHYUGS GIS BGYUS SO, ,'DIS KYANG RGYAL BA'I BSTAN PA RIN PO CHE DUS KUN TU 'PHEL BAR GYUR CIG , ,,)","Uuree"
"9","M0057898-002","W1NLM4-I1NLM4","Tibetan","N","*, ,THUB DBANG GNAS BRTAN 'KHOR DANG BCAS PA LA MCHOD CING GSOL BA GDAB PA'I SGO NAS YUL KHYAD PAR CAN LA BRTAN BZHUGS 'BUL TSUL THUB BSTAN RGYAS PA'I NYEN BYED ZHES BYA BA BZHUGS SO, ,","DZNY'A NA'I MING CAN,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-5B","29x6","35x8.7","MS","NYANG BRANG CHU BZANG RI KHROD,",NA,NA,"@005A *, ,(CES THUB DBANG GNAS BRTAN BCU DRUG 'KHOR BCAS LA MCHOD CING MTSAN 'DZIN @005B GSOL BA GDAB PA'I SGO NAS YUL KHYAD PAR CAN LA BRTAN BZHUGS 'BUL TSUL THUB BSTAN RGYAS PA'I NYEN BYED ZHES PA 'DI NI, ^SER SMAD MKHAN PO BLO BZANG THUGS RJES MDZAD PA'I GNAS BCU BSTAN RGYAS MA MA'I SGO NAS BRNYAN BZUGS 'BUL TSUL DANG, PHYAG MCHOD THUB BSTAN RGYAS BYED SOGS CHOG SGRIGS TE LAG LEN NAG 'GROS SU 'KHOD PA ZHIG DGOS ZHES RANG GI SLOB MA 'GA' ZHIG NAS ZHES SUN YANG YANG BTANG BA'I NGOR DGE SBYONGS DZNY'A NA'I MING CAN GYI NYANG BRANG CHU BZANG RI KHROD DU BSGRIGS PA'O, ,SARBA MANGGA LAm, BKRA SHIS PAR GYUR CIG , DGE'O,, ,,)","Uuree"
"10","M0057898-003","W1NLM4-I1NLM4","Tibetan","N","*, ,TSE LHA RNAM GSUM GYI MNGON RTOGS BZHUGS SO, ,","DKON MCHOG BSTAN PA'I SGRON ME,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-3B","27.7x6.7","35x9","MS",NA,NA,NA,"@003B (ZHES PA 'DI NI TSE LHA RNAM GSUM TSAR SGRUB PAR 'DOD KYANG SO SOR MI LCOGS PA RNAMS LA 'JUG PA BDE BA'I PHYIR 'DI 'DRA ZHIG DGOS ZHES DANG BRTZON LDAN PA DGE SLONG DKON MCHOG ZLA BA'I BSKUL NGOR, BTZUN PA DKON MCHOG BSTAN PA'I SGRON ME BRIS PA'O, ,)","Uuree"
"11","M0057898-004","W1NLM4-I1NLM4","Tibetan","N","*, ,GUNG THANG 'JAM PA'I DBYANGS KYI GSUNG BA'I TSE LHA RNAM GSUNG GYI SGO NAS GZHAN DON SGRUB PA'I BUM PA SGRUB TSUL GSAL BYED PA'I LHAN THABS TSE YI MCHOG STZOL CES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","3B-7B","27.7x6","35x8.7","MS",NA,NA,NA,NA,"Uuree"
"12","M0057898-005","W1NLM4-I1NLM4","Tibetan","N","*, ,DGE LDAN BKA' BRGYUD RIN PO CHE'I PHYAG CHEN RTZA BA RGYAL BA'I GZHUNG LAM ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1A-4B","30x6","35.5x8.7","MS","DGE LDAN RNAM RGYAL BA'I GLING,",NA,NA,"@004A *, ,(CES PHYAG RGYA CHEN PO'I DO SPROD BYED TSUL 'DI YANG, 'DI NANG GIS CHOS BRGYAD SMYON BA'I ZLOS DKAR LTAR MTHONG NAS, DBEN PA'I RI SUL DU DRANG SRONG GI SBYONG TSUL GYIS 'DUG NAS, LAM 'DI LA NYAMS LEN SNYONG POR BYED PA GNAS BCU RAB 'BYAMS PA DGE 'DUN RGYAL MTSAN DANG HA MTHONG BKA' BCU PA SHIS RAB SENG GE GNYIS KYIS SNGA MO NAS YANG YANG BSKUL ZHING, GZHAN YANG NGES DON PHYAG CHEN GYI NYAMS LEN PHYED PAR, 'DOD PA'I RANG @004B GI SLOB MA MANG POS BSKUL BA DANG, KHYAD PAR RJE GRUB PA'I DBANG PHYUG THAMS CAD MKHYEN PA RGYAL BA DBEN SA PA CHEN PO DE NYID KYIS, RANG GZHAN LA 'DOMS PAR MDZAD PA'I NYAMS MGUR ZHIG TE BSHES GNYEN BSTEN TSUL NAS ZHI LTAG GI BAR BKA' GDAMS LAM RIM LTAR NAS GDAMS NAS, MJUG TU BSHAD MA THAG PA'I LAM 'DIS YIN PA, DA LTA'I GANS CAN PA LA MI GRAGS PA'I, PHYAG RGYA CHEN PO'I GDAMS NGAG MTHAR THUG PA, DA LTA YI GER 'GOD PAR MI NUS SO, ZHES DE DUS DGAG BYA'I DBANG GIS MI 'GOD BGYI DUS DGONGS PA, DBER NA DAM CHOS PAD DKAR DU, SANGS RGYAS YE SHES RAB TU RTOGS BYA'I PHYIR, THABS 'DI RANG 'BYUNG GIS NI MDZAD GYUR GYI, ,DE DAG RNAMS LA KHYED CAG SANGS RGYAS SU, ,'GYUR RO ZHES NI NAM YANG MI SUNG NGO, ,CI PHYIR ZHE NA SKYOB PA DUS LA GZIGS, ZHES GSUNGS PA DANG 'DRA BA'I BZHED BA BSGUB PA'I PHYI MA STON PA MNYAM MED SH'AKYA'I RGYAL PO NAS BZUNG STE, BDAG GI RTZA BA'I BLA MA THAMS CAD MKHYEN CING GZIGS PA SANGS RGYAS YE SHES ZHABS KYI NA LA SNGAGS NAS KYI BAR, LAM 'DI MNGON SUM DU THUGS NYAMS SU BSNYAR BA'I BYIN RLABS KYI BRGYUD PA MNYAMS SHING, DAM TSIG LA SEL MA ZHUGS PA'I RIGS SU BYUNG ZHING MDO RGYUD DAM PA'I MAN NGAG 'DZIN PA'I SBONG PA BLO BZANG CHOS KYI RGYAL MTSAN GYIS, DGE LDAN RNAM RGYAL BA'I GLING DU SBYAR BA'O, ,)","Uuree"
"13","M0057898-006","W1NLM4-I1NLM4","Tibetan","N","*, ,AOm SVA STI, DRAG PO SBYIN SREG GYI 'DON PA'I GO RIM NI, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-2B","30.6","35x8.5","MS",NA,NA,NA,NA,"Uuree"
"14","M0057899-001","W1NLM5-I1NLM5","Tibetan","N","*, ,DPAL RTA MCHOG ROL PA GSANG SGRUB KYI GTOR BZLOG BGEGS DPUNG MTHAR BYED ZHES BYA BA BZHUGS SO,, ,, DMAR CHEN GTOR BZLOG GI LAS BYANG, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-30A","30x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"15","M0057899-002","W1NLM5-I1NLM5","Tibetan","N","*, ,RTA MGRIN GSANG SGRUB KYI GTOR BZLOG GI LAG LEN BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1B-2A","30x7","35x8","MS",NA,NA,NA,"@002A *, ,(CES RTA MGRIN GSANG SGRUB KYI GTOR BZLOG GI LAG LEN 'DI NI CHU MO GLANG LO'I GNYIS PA'I TSES NAS BRIS PAS DGRA BGEGS GA-YUL LAS RGYAL BA'I RGYUR GYUR CIG , ,)","Uuree"
"16","M0057899-003","W1NLM5-I1NLM5","Tibetan","N","*, ,KHRO BO RGYAL PO RTA MCHOG ROL PA GSANG SGRUB KYI GTOR BZLOG GI LAG LEN GSAL BYED RIG PA 'DZIN PA'I DGONGS RGYAN ZHES BYA BA BZHUGS SO, ,","RGYAL DBANG MCHOG",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-11A","30.5x6.5","35x8.5","MS",NA,NA,NA,"@010B (CES KHRO RGYAL RTA MCHOG ROL PA GSANG SGRUB KYI GTOR BZLOG GI LAG LEN BSAL BYED RIG PA 'DZIN PA'I DGONGS BRGYAN ZHES BYA BA 'DI NI ZAB ZHAB SOGS @011A *, ,YI GE'I RIGS KHA CIG GZO BA LA RIG RTZAL SHIN TU MYUR ZHING LEGS PA LA LUGS ZUNG GI BSLAB BYA'I DON LA GNAS SHING DAD DANG RNAM DPYOD ZUNG DU 'BREL BA'I SNYING GI BU SLOB ME TRE SA GA RAS DUS RING MO NAS LAN GCIG MIN PAR NAN TUN DU BSKUL BA BZHIN, 'DI DANG PHYOGS MTHUN GYI MAN NGAG 'GA' ZHIG LA RTEN TE 'BRI BA'I TSE LHA MI'I MDUN SA CHEN PO CO NYE'I RGYAL KHAB NAS BRGYUD LUNG MAN GI GNAD RNAMS MGRIN PAR SMRA BA'I MCHOG DAM PA AU PA SI KA SA 'PHRAL DU SGRUB DGOS TSUL BYUNG ZHING, GZHAN YANG DON GNYER CAN LA LEGS TSUL RIM BZHIN BYUNG BAR BRTEN NAS BZLOG CHOG MCHAN DANG BCAS PA'I DGOS GZHIR BZUNG BA 'DI'I GTER GZHUNG SHANGS PA'I YIG RNYING DANG, RGYAL DBANG MCHOG GIS MDZAD PA'I 'KHOR LO'I KHA BYANG DU MDZAD PA PO PADMA RDO RJE'I MAN NGAG TSAD THUB RNAMS LA ZHIB MOR DPYOD DE MANGA LAm A'A YU STHI RAS LCAGS PHAG CHU STOD ZLA BA'I DMAR PHYOGS KYI DGA' BA GNYIS PAR RDZOGS PAR SBYAR BA'I YI GE PA NI BSKUL BA PO RANG NYID KYIS BGYIS PA 'DIS KYANG DGRA BGEGS KYI GA-YUL LAS RGYAL BAR GYUR CIG , ,,SARBA MANGGA LAm, , BKRA SHIS,, ,,)","Uuree"
"17","M0057899-004","W1NLM5-I1NLM5","Tibetan","N","*, ,KHRO BO RME BRTZEGS LA BRTEN NAS GRIB GLUD RDZONGS CHOG 'KHYER BDE BA ZHIG BZHUGS, ,","BSOD NAMS LHUN GRUB,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-6A","30x6.5","35.5x8","MS",NA,NA,NA,"@006A *, ,(ZHES PA 'DI NI BKA' CHEN KUN DGA' BLO GROS KYI GSUNG BZHIN BRIS PA YIN PAS KHUNGS THUB PAR YOD CING, MKHYEN RAB CHOS RJE'I SNAG DPON BSOD NAMS LHUN GRUB KYIS MDZAD PA'I YIG CHA YANG YOD PAR SNANG NGO, ZHES PA'ANG ^DAM TSIG RDO RJES SO,, DGE LEGS 'PHEL,, ,,)","Uuree"
"18","M0057899-005","W1NLM5-I1NLM5","Tibetan","N","*, ,RTA MGRIN GSANG SGRUB KYI SGO NAS TSE 'GUGS BYED TSUL 'KHYER BDE BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-7A","30x6.5","35.5x8","MS",NA,NA,NA,"@007A *, ,(ZHES PA 'DI NI BLA MA'I GSUNGS LAS BTUS TE, ^DAM TSIG RDO RJES BRIS PA'O,, ,,)","Uuree"
"19","M0057899-006","W1NLM5-I1NLM5","Tibetan","N","*, ,'BYUNG BZHI GTOR MA'I GDAMS PA NYAMS SU LEN TSUL GSAL BAR BKOD PA NAM MKHA'I RNGA CHEN ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS RGYAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-28B","29.5x7","35.3x8.3","MS",NA,NA,NA,"@028A *, ,(CES 'BYUNG BZHI GTOR MA'I GDAMS PA NYAMS SU LEN TSUL GSAL BAR BSHAD PA NAM MKHA'I RNGA CHEN ZHES BYA BA 'DI NI, ^'JAM DBYANGS GONG MA'I BKA' LUNG GIS CHING SU TZUG THU NO MONG HANG DU 'BOD PA'I BAN CHUNG GYIN BA SU MA TI AABHYA SH'A SA NA SYADHVA DZA ZHES BYA BAS ^SNANG BA MTHA' AAS PAn CHEN THAMS CAD MKHYEN PA BLO BZANG CHOS RGYAN DPAL @028B DPAL BZANG PO'I GSUNG CHOG BSGRIGS GZHIR BZHAG SENG CHEN SPRUL PA'I SPRU RIN PO CHE DANG BZHAD DNGUL CHU BLA MA CHOS BZANG PA'I BSHAD KHRID KYI YIG CHA DANG GTOR CHOG GI YI GE GZHAN DAG LAS KYANG CI RIGS PAR BTUS TE 'KHYER BDE BKLAG CHOG GI TSUL DU NYE BAR SBYAR BA'I YI GE PA NI, SDOM BRTZON GAM DRUNG DGE SLONG BLO LDAN GYIS BGYIS PA'O, ,PAR YIG BRIS PA PO NI BLO BZANG TSE SGRUB PA'O,, ,,DGE'O, ,)","Uuree"
"20","M0057899-007","W1NLM5-I1NLM5","Tibetan","N","*, ,RGYAL PO'I GSOL MCHOD DREGS PA'I RE BSKONG BYED ZHES BYA BA BZHUGS SO, ,","DHARMA SVA MI WA GINTRA PA tU SIDDHI MING CAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-10A","29.5x7","35x8","MS",NA,NA,NA,"@010A *, ,(CES PA 'DI NI BLO GROS KYI 'JUG PA MCHOG TU YANGS PA'I DGE SLONG DKON MCHOG TSUL KHRIMS KYIS GRONG CHOG PA RNAMS KYI THUGS BZHED BSKONG BA'I SLAD DU BRIS DGOS SU BSKUL BAR RTEN, SNYIG DUS KYI MTHA' LA SLEB PAS RGYAL PO'I GNOD PA BDO BA'I DUS 'DIR 'GA' ZHIG LA PHAN PA'ANG SRID DAM SNYAM PAS RGYAL PO'I MDOS GZHUNG SOGS KHUNGS THUB RNAMS KYI DON DANG MI 'GAL BAR BSGRIGS PA PO NI DHARMA SVA MI WA GINTRA PA tU SIDDHI MING CAN NO, ,'DIS KYANG 'GRO BA RNAMS NGA RGYAL DANG ZHE SDANG GIS BSKUL BA'I GNOD BYED KYI 'CHAR SGO SNA TSOGS LAS THAR BAR GYUR CIG , ,,)","Uuree"
"21","M0057899-008","W1NLM5-I1NLM5","Tibetan","N","*, ,BTZAN GYI GSOL MCHOD 'PHRUL GYI MCHOD SBYIN ZHES BYA BA BZHUGS SO, ,","WA GINDRA PA tU SIDDHI,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-9B","30x6.5","35.3x8.1","MS",NA,NA,NA,"@009B (CES BTZAN GSOL 'PHRUL GYI MCHOD SBYIN ZHES BYA BA 'DI NI, KHU RE CHEN MO'I TAR HAN AEM CHE'I KHAMS TSAN GYI DGE 'DUN RNAMS KYI SKU'I RIM GROR 'DI LTA BU ZHIG DGOS ZHES KHAMS TSAN RANG GI BLA MA DGE SLONG YE SHES BSTAN 'DZIN DANG, RAB 'BYAMS PA BLO BZANG RDO RJES BSKUL BA LTAR, BTZUN PA WA GINTRA PA tU SIDDHIS BRIS PA 'GRO BA RNAMS NGA RGYAL GYI 'CHAR SGO LAS THAR BAR GYUR CIG , ,,)","Uuree"
"22","M0057899-009","W1NLM5-I1NLM5","Tibetan","N","*, ,YI DAM MKHA' 'GO CHOS SRUNG SPYI LA SBYAR RUNG GI BZLOG PA'I CHO GA MI MTHUN PHYOGS LAS RGYAL BA'I RU MTSON ZHES BYA BA BZHUGS SO, ,","NGAG DBANG BSTAN PA'I RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-9A","29.2x6.5","35.5x8","MS",NA,NA,NA,"@008B (CES YI DAM CHOS BSRUNG SPYI LA SBYAR RUNG GI BZLOG PA'I CHO GA MI MTHUN PHYOGS LAS RGYAL @009A *, ,BA'I RU MTSON ZHES BYA BA 'DI NI, RNAM DPYOD YANGS PA'I DGE SLONG BLO BZANG DPAL LDAN DANG, DAD LDAN DGE SLONG MKHAS MCHOG SOGS DON GNYER CAN 'GA' ZHIG GIS YANG YANG BSKUL BA'I NGOR BTZUN GZUGS RATNA'I MING CAN GYIS ^RJE 'JAM DBYANGS BZHAD PA DANG, GRUB DBANG THO'U BKVAN RIN PO CHE, SKYABS RJE NGAG DBANG BSTAN PA'I RGYAL MTSAN SOGS KYI GSUNG LAS BTUS TE BSGRIGS PA'I YI GE PA NI DGE SLONG PAtU PHADRAS BRIS PA DZA YANTU,, ,,)","Uuree"
"23","M0057899-010","W1NLM5-I1NLM5","Tibetan","N","*, ,LTUNG BSHAGS KYI SGO NAS 'CHI BSLU BYA TSUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-6A","29.5x6","35x8","MS","IN CHEN LTA BU'I RTEN MCHOG YUN RIN,",NA,NA,"@006A *, ,(ZHES SOGS BKA' STZAL BA 'DI NYID THUGS LA BZHAG NAS RIN CHEN LTA BU'I RTEN MCHOG YUN RING DU GNAS PA'I THABS DE DAG LA 'BAD PAR 'TSAL, ,DGE'O,, ,,)","Uuree"
