"","NLM Catalog #","Input file number","Language(s) of the main text","Language(s) of the main text_1","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Location of this copy","Publisher","Copyright owner","Location of printing-","Drawings or illustrations","Colophon-tugsguliin ug","Neree bich"
"1","M0057905-001","W1NLM11-I1NLM11","Tibetan","N","*, ,RJE BTZUN RDO RJE PHAG MO'I SGRUB DKYIL GYI CHO GA'I NGAG 'DON BKLAG CHOG TU SPEL BA BRGYUD PA BZHI LDAN ZAB MO'I CHOS KYI BSTAN PA RGYAS BYED CES BYA BA BZHUGS SO, ,ZAB DBANG MA THOB PA LA BSTAN PAR MI BYA BA'I DKA' RGYAN CAN NO, ,","BSTAN 'DZIN CHOS RJE,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-53B","17x6.5","22x9","MS",NA,NA,NA,NA,"@053A *, ,(RJE BTZUN RDO RJE PHAG MO'I SGRUB DKYIL GYI CHO GA'I NGAG 'DON 'DI YANG BSTAN 'DZIN CHOS RJE'I MTSAN CAN GYIS BYIN GYIS RLABS PA'I YE SHES LHUN GRUB KYIS LUGS GZHAN GYIS BSRE BSLAD MED PAR LEGS PAR BSHAD PA GU HYA SA MA YA RGYA, KHYAD CHOS LNGA LDAN RDO RJE'I RGYAS BTAB PA'I, ,ZAB DON RTOGS DKA' BDAG BLO MTHU DMAN PAS, ,NONGS GYUR MCHIS NA BLA MA MKHA' 'GRO YIS, , @053B BZOD PAR GSOL LA SDIG LTUNG SBYANG DU GSOL, ,'DIR 'BAD DGE BAS BDAG DANG 'GRO BA KUN, ,LHAN SKYES BDE CHEN RDO RJE RNAL 'BYOR MAR, ,ROL BA'I RTZED DGAS 'TSO ZHING LCAGS SAM PA'I, ,BSTAN PA RIN CHEN RING DU 'BAR GYUR CIG,)",NA
"2","M0057905-002","W1NLM11-I1NLM11","Tibetan","N","*, ,RAS BRIS DKYIL 'KHOR BRIS SKU SOGS YOD NA RTEN RNAMS LA BRTAN BZHUGS BYA BA NI,","RJE GRUB THOB CHEN PO,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","53B-60A","17x6.5","22x9","MS",NA,NA,NA,NA,"@060A *, ,(CES SMON LAM DANG BKRA SHIS 'DI DAG RJE GRUB THOB CHEN PO'I GSUNGS 'KHRUL MED BYIN RLABS CAN NO, ,)",NA
"3","M0057905-003","W1NLM11-I1NLM11","Tibetan","N","*, ,RDO RJE PHAG MO MNGON RTOGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6A","17x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"4","M0057906-001","W1NLM12-I1NLM12","Tibetan","N","*, ,RJE BTZUN 'JAM DBYANGS KYI BSTOD PA BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-22A","16.5x6.5","21x8","MS",NA,NA,NA,NA,NA,NA
"5","M0057906-002","W1NLM12-I1NLM12","Tibetan","N","*, , MA GCIG KHROS MA NAG MO'I BSKANG BSHAGS DNGOS GRUB KUN 'BYUNG ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-18B","17.5x5","22x7","MS",NA,NA,NA,NA,"@018A *, ,(CES PA 'DI NI KUN DGA' SNYING PO DANG, DON YOD RDO RJE LEGS PA'I MDZAD GZHUNG RNAMS GONG 'OG @018B 'JOL BA 'JAM DBYANGS PAn CHEN PU PUnYE SHES RAB PHYOGS GCIG TU BSGRIGS PA'O, , SA MA YA, , RGYA RGYA RGYA, ,)",NA
"6","M0057906-003","W1NLM12-I1NLM12","Tibetan","N","*, ,CHA GSUM GTOR MA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-10A","19.5x5.5","23.5x7.5","MS",NA,NA,NA,NA,NA,NA
"7","M0057906-004","W1NLM12-I1NLM12","Tibetan","N",", RTA MGRIN GSANG SGRUBS GYI SGO NAS GRIB SEL BYA TSUL NOR BU KE TA KA ZHES BYA BA BZHUGS SO, ,","DHARMA BDZRA,","BHA TA'I SA'I CHAR SGAR THOG",NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6B","16.5x5","20x6.5","MS",NA,NA,NA,NA,"@006A *, ,(RTA MGRIN GSANG SGRUB KYI SGO NAS GRIB SEL BYA TSUL NOR BU KE TA KA ZHES BYA BA 'DI NI DON GNYER BA 'GA' ZHIG GIS 'DI LTA BU ZHIG DGOS ZHES BSKUL BAR BRTEN, MKHA' 'GRO'I SGRUBS THABS DANG 'BREL BA'I SEL GYI @006B GDAMS PA RNAMS RTA MGRIN LA MI 'GRIGS BZHIN DU NAN GYIS SPYOD PAR DGOS BA MA MCHIS SHING, SNGAR BKOD PA'I GDAMS PA 'DI NYID YI DAM GANG LA'ANG SBYAR CHOG BAS, RTA MGRIN GYI LE LAG TU BLANG BAR 'GAL BA MED PAR BSAM NAS BTZUN GZUGS DHARMA BDZRA GYIS BHA TA'I SA'I CHAR SGAR THOG TU SBYAR BA'O, ,)",NA
"8","M0057906-005","W1NLM12-I1NLM12","Tibetan","N","*, ,SENG GDONG MA'I BLO BUR LAS BCOL RDO RJE THUN MDA' ZHES BYA BA BZHUGS, ,","RDO RJE THOG MED RTZAL,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4A","18x6","22x7","MS",NA,NA,NA,NA,"@004A *, ,(CES GANG GI ZHABS RDUL PA RDO RJE THOG MED RTZAL GYIS BRIS BA'O, , SARBA SIDDHI PA LA HO:)",NA
"9","M0057906-006","W1NLM12-I1NLM12","Tibetan","N","SENG GDONG NAG MO'I SGO NAS ZOR NAG BZHUGS SO, , ,SA LUGS SENG GDONG MA'I SGO NAS DRAG LAS BDUD YUL 'JIGS PA'I LTAS NGAN THOG MDA' ZHES BYA BA BZHUGS SO, ,","RDO RJE GZHON NU RTZAL,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-22B","18x5","22x7","MS",NA,NA,NA,NA,"@022B (ZHES PA 'DI NI RDO RJE GZHON NU RTZAL GYIS BRIS PA A BI TZARYA SIDDHI DZA YANDU,, ,,)",NA
"10","M0057906-007","W1NLM12-I1NLM12","Tibetan","N","*, ,THA 'OG CHOS RGYAL KYI GSOL MCHOD BZHUGS SO, ,","RJE BTZUN GRAGS PA BSHAD SGRUB,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-9A","18x6","22x7","MS",NA,NA,NA,NA,"@009A *, ,(ZHES PA 'DI NI RGYAL DBANG LNGA PA CHEN PO'I GSUNG LA RJE BTZUN GRAGS PA BSHAD SGRUB KYIS KHA SKONG BGYIS PA'O, ,)",NA
"11","M0057906-008","W1NLM12-I1NLM12","Tibetan","N","*, ,GSOL 'DEBS MA RIG MDUM PA DUM BUR GTUB PA'I YE SHES SPU GRI'I 'KHOR LO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4B","18x6","20x7","MS",NA,NA,NA,NA,NA,NA
"12","M0057906-009","W1NLM12-I1NLM12","Tibetan","N","*, ,MA CIG KHROS MA NAG MO'I SGRUB THABS MNGON DKYIL SHIN TU GSAL BA GO SLA'I TSUL DU BKOD PA BZHUGS SO, ,","BLO BZANG RAB RGYAS,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-38A","18x6","20x7","MS",NA,NA,NA,NA,"@037B (CES MA CIG KHROS NAG GI MNGON RTOGS SNYAN RGYUD KYI CHU 'GO GRUB PA'I DBANG PHYUG CHOS NYID RANG GROL NAS BRGYUD PA'I RJES SU GA-YU RING BA BSOD NAMS DBANG PHYUG GI YIG CHA DANG, DE LAS BRGYUD PA'I MAN NGAG RJE BKA' 'DREN CAN BYAMS PA LHA DBANG RIG 'DZIN GYI YIG CHA GNYIS LAS GZHI BYAS TE RANG BZOS MA BSLAD PAR MNGON DKYIL SHIN TU 'KHYER BDE GO SLA'I TSUL DU NGAG DBANG PHUN TSOGS KYIS ZE SMAD NAGS SBUG TU PHAN 'DOD LHAG BSAM GYIS BKOD PA LA, SLAR YANG SNGON 'GRO'I CHOS DANG MCHOD BSTOD CUNG ZAD SPROS BA GZHAN NAS BLANGS SHING, DNGOS GRUB BLANG BA GZHUNG @038A *, ,DU MI GSAL YANG BRTAN BZHUGS SOGS NAS DGOS PAR GSUNGS LA LTAR LEN TSIG SNGAGS BCAS GAS SAR DU BRTZAMS PA DANG, TSOGS MCHOD RGYAS BSDUS BSNGO SMON BKRA SHIS ZUR DU BYUNG RNAMS CHO GA KHRIGS SU BKOD PA'I SA BCUD 'PHRANG BU BSGRIGS PA LAS GO RIM SOGS YIG CHA RNYING BA GNYIS LAS ZHUS DAG PAR BGYIS SHING LEGS CHAS BRGYAN TE MA CIG KHROS MA'I GRUB THABS SHIN TU TSANG ZHING GSAL BAR BKOD PA 'DI KYANG MKHA' MNYAM GYI SEMS CAN THAMS CAD YUM CHEN MO'I GO 'PHANG MYUR DU THOB PA'I RGYUR GYUR CIG, 'DI'I LUNG BRGYUD NI, MDZAD PA PO NGAG DBANG CHA PHUN TSOGS, DES DGE SLONG BLO BZANG RAB RGYAS, DES BDAG BSOD NAMS GRAGS PA LA'O, ,)",NA
"13","M0057906-010","W1NLM12-I1NLM12","Tibetan","N","*, ,DPAL LHA MO NAG MO CHEN MO'I MTSAN BRGYA RTZA BRGYAD PA YON TAN DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-7A","18x5.5","22x7","MS",NA,NA,NA,NA,NA,NA
"14","M0057906-011","W1NLM12-I1NLM12","Tibetan","N","*, ,RTA MGRIN GSANG SGRUB KYI SGO NAS RAB GNAS BYED TSUL BYIN RLABS KYI ROL MTSO ZHES BYA BA BZHUGS SO, , RTA MGRIN CHOS BSKOR LAS RAB GNAS TSUL BA'O, ,","DHARMA BDZRA,","YID DGA' CHOS 'PHEL",NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-20B","18x6","21.5x7.5","MS",NA,NA,NA,NA,"@020A *, ,(CES RTA MGRIN GSANG SGRUB KYI SGO NAS RAB GNAS BYED TSUL BYIN RLABS KYI ROL MTSO ZHES BYA BA 'DI NI RAB GNAS CHO GA DU MA DANG, DAM PA'I PHYAG BZHES MTHONG BRGYUD BZHIN, ,RANG GZHAN LA PHAN 'DOD KYI BSAM PAS BTZUN GZUGS ^PA DHARMA BADZRA GYIS, ,'PHAR BA ZHES PA LCAGS @020B MO GLANG GI LO DBYAR DUS KYI DGA' MA LANG MTSO DAR LA 'BAB PA NA, ,SGYED MOS TSAL GYI BSTE GNAS YID DGA' CHOS 'PHEL DU SPAR PA'I YI GE PA NI O RU DU SU DGE SLONG BLO BZANG KUN DGA' BGYIS BA SARBA DZA YANdU, ,DGE'O MANGGA LAm, ,",NA
"15","M0057906-012","W1NLM12-I1NLM12","Tibetan","N","*, ,DPAL DUR KHROD BDAG PO BSKANGS SO DNGOS GRUB 'BAR BA'I 'OD KYI CES BYA BA","BLO BZANG DPAL LDAN YE SHES,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-11A","17x5","20x7","MS",NA,NA,NA,NA,"@010B (ZHES DPAL DUR KHROD BDAG PO BSKANGS SO DNGOS GRUB 'BAR BA'I 'OD KYI CES BYA BA 'DI NI SNGON DU BLANG BA GSER GLENG GI BLA MA BKA' BCU BLO BZANG BSTAN 'DZIN GYIS BSKUL BAR MA ZAD RJES SU YANG STAG KHUR GNYER PA BLO BZANG RDO RJES 'DI LTA BU ZHIG DGOS ZHES BSKUL BA LTAR, SHaKYA'I DGE SLONG BLO @011A *, ,BZANG DPAL LDAN YE SHES KYIS SBYAR PA'O, ,BKRA SHIS PAR GYUR CIG,)",NA
"16","M0057906-013","W1NLM12-I1NLM12","Tibetan","N","DKAR GSUM MNGAR GSUM PHYE MAR TSIL BU ZAG MED BSUR GYI MCHOD PA 'BUL BZHUGS SO","SU MA TI aRTHA SIDDHI,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4B","17x6","20x7","MS",NA,NA,NA,NA,"@004B (CES BSUR GYI MCHOD PA 'DI NI SDIGS MA'I DUS SU PHYUGS BZHI LA RIMS NAD SOGS NAD GOD KHA MANG DU 'BYUNG BA LA PHAN SNYAM PA'I BSAM PAS BSKUL TE, SKU SKYES SU MA TI aRTA SIDDHI MING GYIS BRIS PA DGE LEGS GYUR CIG, DGE 'O,, MANGGA LAm,)",NA
"17","M0057906-014","W1NLM12-I1NLM12","Tibetan","N","*, ,MKHA' 'GRO SPYI GTOR","BDE MCHOG RANG LUGS LTAR,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","19x6","22x7","MS",NA,NA,NA,NA,"@002B (,'DI NI BDE MCHOG RANG LUGS LTAR BRIS PA'O,)",NA
"18","M0057906-015","W1NLM12-I1NLM12","Tibetan","N","*, ,H'Um BLA MA MCHOG GSUm YI DAM ZHI KHRO DANG, MYUR MDZAD MGON PO DAM CAN CHOS KYI RGYAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4B","16x6","21x7","MS",NA,NA,NA,NA,NA,NA
"19","M0057906-016","W1NLM12-I1NLM12","Tibetan","N","*, ,KHROS MA NAG MO'I MKHA' 'GRO'I SPYI GTOR BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4A","17x6","21x7","MS",NA,NA,NA,NA,NA,NA
"20","M0057906-017","W1NLM12-I1NLM12","Tibetan","N","` MKHA' 'GRO'I 'BUM BSKUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","18x6","21x7","MS",NA,NA,NA,NA,NA,NA
"21","M0057906-018","W1NLM12-I1NLM12","Tibetan","N","` SPYAN 'DREN CHOS DBYINGS MA BZHUGS SO, ,","PUNYEE SHRI,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","18x6","21x7","MS",NA,NA,NA,NA,"@002B (CES PAn CHEN PUNYEE SHRI YIS MDZAD PA GSUNGS RDZOGS SO, ,)",NA
"22","M0057906-019","W1NLM12-I1NLM12","Tibetan","N","` MKHA' 'GRO'I BZHENGS BSKUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","18x6","21x7","MS",NA,NA,NA,NA,NA,NA
"23","M0057906-020","W1NLM12-I1NLM12","Tibetan","N","*, ,SENG GDONG MA'I MCHOD GTOR ZOR NAG GYI BYA TSUL NI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","18x7","22x7","MS",NA,NA,NA,NA,NA,NA
"24","M0057906-021","W1NLM12-I1NLM12","Tibetan","N","` SDE BRGYAD GTOR MA BZHUGS SO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3A","18x6","21x7","MS",NA,NA,NA,NA,NA,NA
"25","M0057906-022","W1NLM12-I1NLM12","Tibetan","N","*, ,BHYO: DPAL LDAN LHA MO DPAG PAR DKA' PA KHYOD,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2B","17x6","22x7","MS",NA,NA,NA,NA,NA,NA
"26","M0057906-023","W1NLM12-I1NLM12","Tibetan","N","*, ,GSANG BA'I RNAM THAR BZHUGS SO, ,","BKRA SHIS DPAL LDAN,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-7B","20x7","22x8","MS",NA,NA,NA,NA,NA,NA
"27","M0057907-001","W1NLM13-I1NLM13","Tibetan","N","*, ,MKHA' 'GRO SDE LNGA BSTOD PA GSOL 'DEBS SMON LAM SHIS BRJOD DANG BCAS PA BZHUGS SO, ,","NGAG DBANG PO,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-9A","15x6.5","22x9","MS",NA,NA,NA,NA,"@009A *, ,('DI NI NGAG DBANG POS SBYAR PA'O, ,)",NA
"28","M0057907-002","W1NLM13-I1NLM13","Tibetan","N","*, ,NYAMS MYONG RGAN PO'I 'BEBS GTAM YID 'BYUNG DMAR KHRID CES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4B","15x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"29","M0057907-003","W1NLM13-I1NLM13","Tibetan","N","*, ,GCOD YUL KYI CHOS SKYONG RNAMS LA GTOR MA'I 'BUL TSUL BZGUGS SO, ,","BSAM 'PHEL MING CAN,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3B","16.5x7","22x9","MS",NA,NA,NA,NA,"@003B (CES PA 'DI NI BSAM 'PHEL MING CAN GYIS GNYAN KHROD 'GRIM PA SKABS KYI THUN MTSAMS GZHI LA THOL BYUNG DU SMRAS PA'O, ,)",NA
"30","M0057907-004","W1NLM13-I1NLM13","Tibetan","N","*, ,TSOGS MCHOD DNGOS GRUB MCHOG SBYIN BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6A","17x6.5","22x9","MS",NA,NA,NA,NA,"@006A *, ,(CES BRJOD CING BSKANG BA DANG 'BREL PA'I TSE BSKANG BSHAGS GTOR 'BUL RNAMS SONG RJES TSOGS 'KHOR GYI RIM PA 'DI RNAMS RDZOGS PAR BTANG NAS BSTOD PA BTANG RAGS MCHOD PA SHIS BRJOD KYI BRGYAN PAR BYA'O,, ,,)",NA
"31","M0057907-005","W1NLM13-I1NLM13","Tibetan","N","*, ,NOR LHA GSUM GYI SBYIN BSREG BYA TSUL DGOS 'DOD KUN 'BYUNG ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-7A","18x6.5","22x9","MS",NA,NA,NA,NA,"@007A *, ,(ZHES PA LTA BU SKABS BSTUN SBYAR RO, , ^BAR GYI YI GE PA NI SLONG BKRA SHIS RDO RJE'O,, ,,)",NA
"32","M0057907-006","W1NLM13-I1NLM13","Tibetan","N","` GSOL 'DEBS BYIN RLABS GNAD 'BEBS MA BZHUGS SO, , *, ,MA CIG GSANG SPYOD SNYAN RGYUD LAS CHOG 'KHRIGS RGYAS PA DGOS 'DOD KUN 'BYUNG ZHES BYA BA BZHUGS SO, ,","RGYAL MTSAN DPAL BZANG PO,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-37A","18x6.5","22x9","MS",NA,NA,NA,NA,"@036B (CES 'GRO 'CHAG NYAL 'DUG STE @037A *, ,SPYOD LAM RNAM BZHI CI BYED KYANG , SGYU MA RMI LAM GYI LAM 'KHYER NGANG NAS BYED, MA CIG GI CHOG 'KHRIGS RGYAS PA 'DI NYID PHA RGOD RGYAL MTSAN DPAL BZANG POS MDZAD PA LTAR GSHONGS CHEN RI KHROD PA MKHAS BTZUN BSTAN PA'I RGYAL MTSAN DPAL BZANG POS GNYAN KHROD BRGYA RTZAR SONG DUS SU GRUB PA MCHOG GI BSTI GNAS PA, GSHONGS CHEN DPAL GYI RI KHROD DU SBYAR BA'O, ,YIG CHUNG 'DI RNAMS RI BO CHE'I PHYAG DPE NAS BSHUS PA GCIG LA MA DPE BYAS NAS ZHUS DAG BYAS PA LAGS PAS KHRUNGS LAGS SO, , SARBA MANGGA LAm, ,)",NA
"33","M0057907-007","W1NLM13-I1NLM13","Tibetan","N","` MA CIG GSANG SPYOD SNYAN RGYUD LAS PHUNG PO'I TSOGS 'BUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","37A-40A","17x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"34","M0057907-008","W1NLM13-I1NLM13","Tibetan","N","` DUR GDAB YO BYAD RNAMS 'DI BZHIN 'DON CHOS BCUG GO ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-7B","17.5x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"35","M0057907-009","W1NLM13-I1NLM13","Tibetan","N","*, ,SA 'TSOL SA BLANGS ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-10A [* missing page from 8A,8B]","17.5x6.5","22x9","MS",NA,NA,NA,NA,NA,NA
"36","M0057907-010","W1NLM13-I1NLM13","Tibetan","N","` THAMS CAD MKHYEN PA'I MDZAD PA'I GTOR MA BRGYA RTZA BZHUGS SO, ,","THAMS CAD MKHYEN PA ,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-2A","18x7","22x9","MS",NA,NA,NA,NA,"@002A *, ,(CES 'DI NI THAMS CAD MKHYEN PA MDZAD PA'O, ,SARBA MANGGA LAM,)",NA
"37","M0057907-011","W1NLM13-I1NLM13","Tibetan","N","*, ,ZHI BA DKAR PO LA BRTEN PA'I SBYIN BSREG ZHES BYA BA GOD KHA THAMS CAD GCOD PA'I MAN NGAG BZHUGS SO, ,","BLO BZANG RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3A","17.5x7","22x9","MS",NA,NA,NA,NA,"@003 *, ,(^BLO BZANG RGYA MTSO'I SMRAS PAR BYA'O, ,)",NA
"38","M0057907-012","W1NLM13-I1NLM13","Tibetan","N","` PHYUGS KYI BSUR MCHOD BZHUGS SO, ,","BLO BZANG DPAL MGON,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","3A-5B","17.5x8","22x10","MS",NA,NA,NA,NA,"@002B (CES BLO BZANG DPAL MGON MING CAN GYIS SBYAR PA'O, ,)",NA
"39","M0057907-013","W1NLM13-I1NLM13","Tibetan","N","*, ,THANG STONG RGYAL PO'I TSES BCU'I GO RIM BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-5A","17x7","22x9","MS",NA,NA,NA,NA,NA,NA
"40","M0057907-014","W1NLM13-I1NLM13","Tibetan","N","*, ,TSES BCU GO RIM TZAM BYA NI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3A","16x6","22x9","MS",NA,NA,NA,NA,NA,NA
"41","M0057907-015","W1NLM13-I1NLM13","Tibetan","N","*, ,TSOGS RDZAS BSHAMS PAR NANG MCHOD BRAN NI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3B","16x6","22x9","MS",NA,NA,NA,NA,NA,NA
"42","M0057907-016","W1NLM13-I1NLM13","Tibetan","N","*, ,'DI RNAMS DMAR CHOD BYA THABS NI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-4A","16x6","22x9","MS",NA,NA,NA,NA,NA,NA
"43","M0057908-001","W1NLM14-I1NLM14","Tibetan","N","*, ,GCOD KYI CHOS SKYONG RNAMS KYI GTOR 'BUL ZHES BYA BA BZHUGS SO,, ,,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6A","18.5x6","22x9","XYL",NA,NA,NA,NA,"@006A *, ,(CES RDO RJE'I NAG PO GDONG BZHI BA SBYAN RAS MCHOD GTOR PHUL, BSTONG NYID 'PHRIN LAS BCOL BA SHIN TU BSDUS BA 'DI YANG YONGS KYI DGE BA'I BSHES GNYEN DPAL 'BYOR DBANG POS BSKUL BA LA BRTEN NAS, CHOS SMRA BA BLO BZANG CHOS KYI RGYAL MTSAN GYIS 'PHRAL DU BRIS PA'O, ,)",NA
"44","M0057908-002","W1NLM14-I1NLM14","Tibetan","N","*, , DUR KHROD BDAG PO GTOR 'BUL BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","6A-7B","18.5x6","22x9","XYL",NA,NA,NA,NA,NA,NA
"45","M0057908-003","W1NLM14-I1NLM14","Tibetan","N","*, ,BTZAN RGOD MCHOD NYIS KYIS MA CHOS THABS BSKANG BA BZHUGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","7B-9B","18.5x6","22x9","XYL",NA,NA,NA,NA,NA,NA
"46","M0057908-004","W1NLM14-I1NLM14","Tibetan","N","*, ,CHOS BSRUNG RNAMS KYI GTOR 'BUL 'DIR BYA, MKHA' 'GRO SPYI GTOR NI,","MKHAR RDO CHOS KYI RDO RJE,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","9B-11B","18.5x6","22x9","XYL",NA,NA,NA,NA,"@011B (CES PA 'DI NI GRUB CHEN MKHAR RDO CHOS KYI RDO RJES MDZAD PA'O, ,)",NA
"47","M0057908-005","W1NLM14-I1NLM14","Tibetan","N","*, ,NANG GI SBYIN SREG BYA TSUL BZHUGS SO, ,","BSAM 'PHEL MING CAN,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","11B-12B","18.5x6","22x9","XYL",NA,NA,NA,NA,"@012B (CES PA 'DI YANG SH'AKYA'I DGE SLONG BSAM 'PHEL MING CAN GYIS BRIS PA'O,, ,,)",NA
"48","M0057908-006","W1NLM14-I1NLM14","Tibetan","N","` DE NAS DKAR GTOR LA NI,","BSAM 'PHEL MING CAN,",NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","12B-13A","18.5x6","22x9","XYL",NA,NA,NA,NA,"@013A *, ,(CES PA 'DI NI BSAM 'PHEL MING CAN GYIS GNYAN KHROD 'GRIM PA'I SKABS KYI THUN 'TSAMS ZHIG LA THOL BYUNG DU SMRAS PA'O, ,)",NA
"49","M0057908-007","W1NLM14-I1NLM14","Tibetan","N","*, ,MKHA' 'GRO'I BZHENGS BSKUL DANG 'BUM BSKUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-3A","18.5x6","22x9","XYL",NA,NA,NA,NA,NA,NA
"50","M0057908-008","W1NLM14-I1NLM14","Tibetan","N","*, ,MTSER SA SOGS KYI GZHI BDAG MCHOD PA'I TSUL BZHUGS SO, ,","BLO BZANG TSUL KHRIMS,",NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM","POOR","V:N","1A-9B","20x6","22x8","XYL",NA,NA,NA,NA,"@009B ('DI NI TSA HOR DGE BSHES BLO BZANG TSUL KHRIMS KYI GSUNG THOR LAS BYUNG NGO, MANGGA LAm,)",NA
"51","M0057908-009","W1NLM14-I1NLM14","Tibetan","N","*, ,RTA MGRIN GSANG SGRUB KYI CHOS SKOR LAS TSES BCU SOGS KYI SKABS SU NYE BAR MKHO BA SLOB DPON GYI GSOL 'DEBS BSAM PA LHUN GRUB PA BZHUGS SO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOD","GOOD","V:N","1A-6A","14x5.5","22x8.5","XYL",NA,NA,NA,NA,NA,NA
