"","Work RID","Image RID","ImageDirectory-ID","vol.","NLM Catalog #","Cover type","Title in Tibetan","Title","Author","Number of Pages (Vol)","Print Type","Source printery","Size of printed area","Page Dimensions","Condition of the Text","Readability of the Text","Name of Cataloger","Date of Cataloged","Name of Digitizer","Volume Number","No, of pages scanned (number of images)","Date scanning completed","Station number","Notes on missing pages","Home Office Liason","Archive Status","Yellow-BDRC Librarian, Orange-Cataloguer, Blue-Digitizer"
"1",NA,NA,NA,"པོད་གྲངས།",NA,"གླེགས་ཤིང་སོགས།",NA,"མཚན་བྱང་།","མཛད་པ་པོ།","པོད་སོ་སོའི་ཤོག་གྲངས།","ཤིང་པར་ལྟ་བུ་པར་རིགས།","པར་མའི་མིང་།","གླེགས་ཐིག་གི་ཆ་ཚད།","ལྡེབ་མའི་ཆ་ཚད།","དཔེ་ཆའི་སྤུས་ཚད་གནས་སྟངས།","ཡི་གེ་གསལ་མིན་གནས་སྟངས།","དཀར་ཆག་སྒྲིག་པ་པོ།","དཀར་ཆག་སྒྲིག་པའི་ཟླ་ཚེས།","བཤེར་འབེབས་བྱེད་པ་པོ།",NA,NA,"བཤེར་འབེབས་བྱས་པའི་ཟླ་ཚེས།","ཅོག་རྩེ་ཨང་གྲགས།","ལྡེབས་མ་ཆད་པའི་ཐོ།",NA,NA,NA
"2","W1NLM1","I1NLM1","W1NLM1-I1NLM1","1","M0057895","wooden cover","སློབ་དཔོན་ཆེན་པོ་པདྨ་ཀ་རའི་ཐུགས་རྗེའི་ཉིང་ཁུ་མདོས་ཆོག་སྣ་ཚོགས་བལྟོ་སྒྲོས་མས་བསྒྱུར་ཆེན་ཆེན་དགའ་བའི་ལྟས་མོ།","slob dpon chen po pad+ma ka ra'i thugs rje'i nying khu mdos chog sna tshogs blto sgros mas bsgyur chen chen dga' ba'i ltas mo/","pad+ma 'byung gnas/","70 ff.","manuscript",NA,"26x5.5","30x7",NA,NA,"Zulaa","14/8/18","Manal","1",142,"11/9/18","2",NA,NA,"Online",NA
"3","W1NLM2","I1NLM2","W1NLM2-I1NLM2","1","M0057896","n/a","དཔལ་གསང་དབང་འདུས་པའི་དབང་གི་ཆོ་གའི་ཊིཀྐ་དབང་དོན་དེ་ཉིད་རབ་གསལ་ཡང་དག་གསལ་སྒྲོན་མེ་མཁས་པའི་མགུལ་རྒྱན།","dpal gsang dbang 'dus pa'i dbang gi cho ga'i Tik+ka dbang don de nyid rab gsal yang dag gsal sgron me mkhas pa'i mgul rgyan/","jam dbyangs grags pa/","83 ff.","manuscript",NA,"23.5x5.5","29.5x7",NA,NA,"tsagaanaa","14/8/18","Manal","1",168,"11/9/18","2",NA,NA,"Online",NA
"4","W1NLM3","I1NLM3","W1NLM3-I1NLM3","1","M0057897","wooden cover","འཕགས་པ་ཐུགས་རྗེ་ཆེན་པོ་ཞལ་བཅུ་གཅིག་པ་དཔལ་མོའི་ལུགས་ཀྱི་སྒྲུབ་ཐབས་སྨྱུང་བར་གནས་པའི་ཆོ་ག་དང་བཅས་པ་ཕན་བདེའི་སྣང་བ་གསར་དངོམ་སོགས།","phags pa thugs rje chen po zhal bcu gcig pa dpal mo'i lugs kyi sgrub thabs smyung bar gnas pa'i cho ga dang bcas pa phan bde'i snang ba gsar dngom sogs/",NA,"1 v.","Block Print",NA,"23x5.5","30x8",NA,NA,"Zulaa","14/8/18","Manal","1",247,"12/9/18","2","missing image 202",NA,"Online",NA
"5","W1NLM4","I1NLM4","W1NLM4-I1NLM4","1","M0057898","n/a","བྱང་ཆུབ་ལམ་གྱི་རིམ་པ་བརྟེན་པའི་བླ་མའི་རྣལ་འབྱོར་ཐུན་མོང་མིན་པ་ཉམས་སུ་ཆོ་ག་སྐལ་ལྡན་མགུལ་རྒྱན་ནོར་བུའི་འཕྲེང་བ་སོགས།","byang chub lam gyi rim pa brten pa'i bla ma'i rnal 'byor thun mong min pa nyams su cho ga skal ldan mgul rgyan nor bu'i 'phreng ba sogs/","dge slong grags pa dar rgyas/","1 v","manuscript",NA,"31x7","35x8.5",NA,NA,"tsagaanaa","14/8/18","Manal","1",206,"12/9/18","2",NA,NA,"Online",NA
"6","W1NLM5","I1NLM5","W1NLM5-I1NLM5","1","M0057899","wooden cover","དཔལ་རྟ་མཆོག་རོལ་པ་གསང་སྒྲུབ་ཀྱི་གཏོར་བཟློག་བགེགས་དཔུང་མཐར་བྱེད།","dpal rta mchog rol pa gsang sgrub kyi gtor bzlog bgegs dpung mthar byed/",NA,"1 v.","manuscript",NA,"30x6","35x8",NA,NA,"Zulaa","14/8/18","Manal","1",519,"13/9/18","2",NA,NA,"Online",NA
"7","W1NLM6","I1NLM6","W1NLM6-I1NLM6","1","M0057900","paper cover","དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ལ་བརྟེན་པའི་ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག་བདེ་བ་ཆེན་པོའི་རྒྱ་མཚོ་སོགས།","dpal rdo rje 'jigs byed la brten pa'i tshogs kyi 'khor lo'i cho ga bde ba chen po'i rgya mtsho sogs/",NA,"1 v.","manuscript",NA,"26x6","31x7.5",NA,NA,"tsagaanaa","14/8/18","Manal","1",506,"14/9/18","2","missing images 323,324 357-364",NA,"Online",NA
"8","W1NLM7","I1NLM7","W1NLM7-I1NLM7","1","M0057901","n/a","དཔལ་འཁོར་ལོ་སྡོམ་པ་ལོ་དྲིལ་གཉིས་ཀྱི་བསྙེན་པ་བྱེད་ཚུལ་གསལ་བར་བཤད་པ་མཁའ་འགྲོའི་གསང་མཛོད་བདུད་རྩིའི་བུམ་བཟང་སོགས།","dpal 'khor lo sdom pa lo dril gnyis kyi bsnyen pa byed tshul gsal bar bshad pa mkha' 'gro'i gsang mdzod bdud rtsi'i bum bzang /","lcang skya rol pa'i rdo rje/","1 v.","manuscript",NA,"35x6","42x8",NA,NA,"Zulaa","14/8/18","Otgoo","1",334,"13/9/18","1",NA,NA,"Online",NA
"9","W1NLM8","I1NLM8","W1NLM8-I1NLM8","1","M0057902","paper cover","དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་མ་ཆེན་མོའི་རྒྱུད་གྱི་རྒྱལ་པོ།","dpal 'khor lo sdom pa zhes bya ba rnal 'byor ma chen mo'i rgyud gyi rgyal po/",NA,"1 v.","manuscript",NA,"17x6","21x8",NA,NA,"tsagaanaa","17/8/18","Manal","1",176,"13/9/18","2",NA,NA,"Online",NA
"10","W1NLM9","I1NLM9","W1NLM9-I1NLM9","1","M0057903","paper cover","རྗེ་བཙུན་དམ་པ་རང་བྱུང་ཡེ་ཤེས་རྡོ་རྗེ་ལ་གསོལ་བ་འདེབས་པའི་ཚིགས་སུ་བཅད་པ་བྱིན་རླབས་སྒོ་འབྱེད་སོགས།","rje btsun dam pa rang byung ye shes rdo rje la gsol ba 'debs pa'i tshigs su bcad pa byin rlabs sgo 'byed sogs/","dhar ma badzra/","1 v.","Block Print",NA,"24.5x7.5","34.5x8.5",NA,NA,"Zulaa","17/8/18","Otgoo","1",54,"14/9/18","1",NA,NA,"Online",NA
"11","W1NLM10","I1NLM10","W1NLM10-I1NLM10","1","M0057904","paper cover","འཕགས་པ་ཐར་པ་ཆེན་པོའི་མདོ།","phags pa thar pa chen po'i mdo/","shAkya thub pa/","199 ff.","manuscript",NA,"16.5x6","22x9",NA,NA,"tsagaanaa","17/8/18","Otgoo","1",401,"14/9/18","1",NA,NA,"Online",NA
"12","W1NLM11","I1NLM11","W1NLM11-I1NLM11","1","M0057905","n/a","རྗེ་བཙུན་རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་དཀྱིལ་གྱི་ཆོ་གའི་ངག་འདོན་བཀླག་ཆོག་ཏུ་སྤེལ་བ་བརྒྱུད་པ་བཞི་ལྡན་ཟབ་མོའི་ཆོས་ཀྱི་བསྟན་པ་རྒྱས་བྱེད་སོགས།","rje btsun rdo rje phag mo'i sgrub dkyil gyi cho ga'i ngag 'don bklag chog tu spel ba brgyud pa bzhi ldan zab mo'i chos kyi bstan pa rgyas byed sogs/","rje grub thob chen po/","60 ff.","manuscript",NA,"17x6.5","22x9",NA,NA,"Zulaa","20/8/18","Otgoo","1",132,"12/9/18","1",NA,NA,"Online",NA
"13","W1NLM12","I1NLM12","W1NLM12-I1NLM12","1","M0057906","n/a","རྗེ་བཙུན་མ་འཇམ་དབྱངས་ཀྱི་བསྟོད་པ་སོགས།","rje btsun ma 'jam dbyangs kyi bstod pa sogs/",NA,"1 v.","manuscript",NA,"16.5x6.5","21x8",NA,NA,"tsagaanaa","20/8/18","Otgoo","1",409,"13/9/18","1","missing images 301,302",NA,"Online",NA
"14","W1NLM13","I1NLM13","W1NLM13-I1NLM13","1","M0057907","n/a","མཁའ་འགྲོ་སྡེ་ལྔ་བསྟོད་པ་གསོལ་འདེབས་སྨོན་ལམ་ཤིས་བརྗོད་དང་བཅས་པ་སོགས།","mkha' 'gro sde lnga bstod pa gsol 'debs smon lam shis brjod dang bcas pa sogs/","ngag dbang /","1 v.","manuscript",NA,"15x6.5","22x9",NA,NA,"Zulaa","20/8/18","Manal","1",222,"17/9/18","2",NA,NA,"Online",NA
"15","W1NLM14","I1NLM14","W1NLM14-I1NLM14","1","M0057908","n/a","གཅོད་ཀྱི་ཆོས་སྐྱོང་རྣམས་ཀྱི་གཏོར་འབུལ་སོགས།","gcod kyi chos skyong rnams kyi gtor 'bul sogs/","bsam 'phel ming can/","1 v.","Block Print",NA,"18.5x6","22x9",NA,NA,"Zulaa","20/8/18","Otgoo","1",212,"17/9/18","1",NA,NA,"Online",NA
"16","W1NLM15","I1NLM15","W1NLM15-I1NLM15","1","M0057909","paper cover","ས་བདག་ཆབ་གཏོར་གཏོང་ཚུལ་སོགས།","sa bdag chab gtor gtong tshul sogs/","dge slong dngos grub rdo rje/","1 v.","manuscript",NA,"19x5","22x7",NA,NA,"tsagaanaa","20/8/18","Otgoo","1",258,"17/9/18","1",NA,NA,"Online",NA
"17","W1NLM16","I1NLM16","W1NLM16-I1NLM16","1","M0057910","n/a","གཤིན་པོའི་དུར་འདེབས་ཀྱི་ས་བསླང་བ་སོགས་ཇི་ལྟར་བྱ་ཚུལ་གྱི་ཆོ་ག་མདོར་བདུས་གཞན་ཕན་སྙིང་པོ་སོགས།","gshin po'i dur 'debs kyi sa bslang ba sogs ji ltar bya tshul gyi cho ga mdor bdus gzhan phan snying po sogs/",NA,"1 v.","manuscript",NA,"17.5x6","22x9",NA,NA,"Zulaa","20/8/18","Manal","1",214,"17/9/18","2",NA,NA,"Online",NA
"18","W1NLM17","I1NLM17","W1NLM17-I1NLM17","1","M0057911","paper cover","བཅོམ་ལྡན་འདས་དམ་ཚིག་རྡོ་རྗེ་བསྒོམ་བཟླས་བྱ་ཚུལ་སོགས།","bcom ldan 'das dam tshig rdo rje bsgom bzlas bya tshul sogs/","dge slong ye shes rgyal mtshan/","1 v.","Block Print",NA,"13x6","20x7.5",NA,NA,"tsagaanaa","20/8/18","Manal","1",200,"17/9/18","2","missing images 126,127",NA,"Online",NA
"19","W1NLM18","I1NLM18","W1NLM18-I1NLM18","1","M0057912","wooden cover","གསོལ་འདེབས་ཐུགས་རྗེ་མྱུར་འཇུག་སོགས།","gsol 'debs thugs rje myur 'jug sogs/",NA,"1 v.","Block Print",NA,"32x6","36.5x8.5",NA,"poor","Zulaa","20/8/18","Otgoo","1",168,"18/9/18","1","Page number is incorrect. The final Page 3 is actually Page 4. (M0057912-001)",NA,"Online",NA
"20","W1NLM19","I1NLM19","W1NLM19-I1NLM19","1","M0057913","n/a","གདན་ས་ཆེན་པོ་སྐུ་འབུམ་གྱི་གདན་རབས་མུ་ཏིག་འཕྲེང་བ།","gdan sa chen po sku 'bum kyi gdan rabs mu tig 'phreng ba/","ngag dbang bstan pa/","60 ff.","Block Print","sku 'bum byams pa  gling /","31.5x6.5","39x8.5",NA,NA,"Zulaa","20/8/18","Manal","1",120,"18/9/18","2",NA,NA,"Online",NA
"21","W1NLM20","I1NLM20","W1NLM20-I1NLM20","1","M0057914","n/a","བླ་མ་མཆོད་པའི་ཆོ་གའི་ཆ་ལག་ཉེར་མཁོའི་ཡིག་ཆུང་སྐལ་བཟང་དགའ་སྐྱེད།","bla ma mchod pa'i cho ga'i cha lag nyer mkho'i yig chung skal bzang dga' skyed/","dam tshig rdo rje/","1 v.","Block Print",NA,"27.5x7","35.5x9",NA,NA,"Zulaa","20/8/18","Manal","1",226,"19/9/18","2","Final pages are missing (from image 39), M0057914-001 [from 20A]",NA,"Online",NA
"22","W1NLM21","I1NLM21","W1NLM21-I1NLM21","1","M0057915","n/a","གཅོད་ཀྱི་མན་ངག་སྐལ་བཟང་འཇུག་ངོགས།","gcod kyi man ngag skal bzang 'jug ngogs/",NA,"24 ff.","manuscript",NA,"19.5x6","21.5x6.5",NA,NA,"Zulaa","20/8/18","Manal","1",44,"18/9/18","2",NA,NA,"Online",NA
"23","W1NLM22","I1NLM22","W1NLM22-I1NLM22","1","M0057916","paper cover","ཨོ་རྒྱན་པདྨ་འབྱུང་གནས་ཀྱིས་མཛད་པའི་མདོས་གཞུང་ཆུང་བ་ལས་དགོས་པ་ལ་ཀུན་ཕན་ཕྱིར་འདི་མདོས་སྐོར་རིན་ཆེན་བང་མཛོད་སོགས།","o rgyan pad+ma 'byung gnas kyis mdzad pa'i mdos gzhung chung ba las dgos pa la kun phan phyir 'di mdos skor rin chen bang mdzod sogs/","ngag dbang dbang 'byor rin chen/","1 v.","manuscript",NA,"18x6","21.5x8.5",NA,NA,"tsagaanaa","20/8/18","Manal","1",521,"19/9/18","2",NA,NA,"Online",NA
"24","W1NLM23","I1NLM23","W1NLM23-I1NLM23","1","M0057917","n/a","སྔོན་འགྲོ་ཁྲིད་ཆེན་བཞིའི་སྒོ་ནས་བསག་སྦྱང་ཀྱི་ཚུལ་འབུམ་བཞིར་གྲགས་པའི་ལག་ལེན་གསལ་བར་བཀོད་པ་ལམ་བཟང་འཇུག་ངོགས་སོགས།","sngon 'gro khrid chen bzhi'i sgo nas bsag sbyang kyi tshul 'bum bzhir grags pa'i lag len gsal bar bkod pa lam bzang 'jug ngogs sogs/",NA,"1 v.","manuscript",NA,"29x6.5","36x9",NA,NA,"Zulaa","20/8/18","Otgoo","1",215,"18/9/18","1","M0057917-006 [*Final pages are missing from 5A-5B*] Image 127, 128;",NA,"Online",NA
"25","W1NLM24","I1NLM24","W1NLM24-I1NLM24","1","M0057918","n/a","གཏོར་མ་བརྒྱ་རྩ་སོགས།","gtor ma brgya rtsa sogs/",NA,"1 v.","manuscript",NA,"24x5.5","29.5x8",NA,NA,"Zulaa","21/8/18","Otgoo","1",190,"19/9/18","1","M0057918-001 1A-13A [*missing pages from 9A-9B*] Image 17, 18;",NA,"Online",NA
"26","W1NLM25","I1NLM25","W1NLM25-I1NLM25","1","M0057919","n/a","ཛ་མྦྷ་ལ་དཀར་པོའི་བསངས་དཔལ་གྱི་ལྡུམ་པོའི་དྲི་བསུང་།","dza m+bha la dkar po'i bsangs dpal gyi ldum po'i dri bsung /","blo bzang bstan pa'i rgyal mtshan/","1 v.","Block Print",NA,"16x5.5","22x7",NA,NA,"tsagaanaa","21/8/18","Otgoo","1",189,"19/9/18","1","M0057919-017 1A-2B [*Final pages are missing from 3A*] Image 189;",NA,"Online",NA
"27","W1NLM26","I1NLM26","W1NLM26-I1NLM26","1","M0057920","n/a","གཅོད་ཀྱི་གདམས་པའི་སྔོན་དུ་མཁའ་འགྲོ་སྡེ་ལྔའི་སྒོ་ནས་བསྙེན་པ་བྱེད་ཚུལ་ཡིད་བཞིན་དབང་གི་རྒྱལ་པོ་སོགས།","gcod kyi gdams pa'i sngon du mkha' 'gro sde lnga'i sgo nas bsnyen pa byed tshul yid bzhin dbang gi rgyal po sogs/",NA,"1 v.","manuscript",NA,"30.5x6.5","35.5x8.5",NA,NA,"Zulaa","21/8/18","Manal","1",142,"19/9/18","2","M0057920-006 1A-22B [*missing page from 19A-20B] Image 87, 88;",NA,"Online",NA
"28","W1NLM27","I1NLM27","W1NLM27-I1NLM27","1","M0057921","n/a","ཡུམ་ཆེན་ཡེ་ཤེས་ཀྱི་མཁའ་འགྲོ་སེང་གདོང་མའི་སྒྲུབ་ཐབས་དང་གཏོར་བཟློག་གཤེགས་གཏོར་ཚོགས་འཁོར་དང་བཅས་པ་སོགས།","yum chen ye shes  kyi mkha' 'gro seng gdong ma'i sgrub thabs dang gtor bzlog gshegs gtor tshogs 'khor dang bcas pa sogs/",NA,"1 v.","manuscript",NA,"28.5x4.5","36.5x7",NA,NA,"Zulaa","21/8/18","Otgoo","1",121,"19/9/18","1","M0057921-007 1A-20B [*Final pages are missing from 21A] Image 115;",NA,"Online",NA
"29","W1NLM28","I1NLM28","W1NLM28-I1NLM28","1","M0057922","n/a","སྦྱོར་བ་ཆེ་ཆུང་དང་ཚེས་དང་གཟའ་སྐར་མའི་འབྲས་དང་ཚེས་ལ་རྒྱུ་བའི་ས་བདག་དང་བྱ་བ་ཐམས་ཅད་ཀྱི་བླང་དོན་རྩིས་འབྲས་ཟླ་ཤེལ་ནོར་བུ་སོགས།","sbyor ba che chung dang tshes dang gza' skar ma'i 'bras dang tshes la rgyu ba'i sa bdag dang bya ba thams cad kyi blang don rtsis 'bras zla shel nor bu sogs/",NA,"1 v.","manuscript",NA,"20.5x7","22x9",NA,NA,"tsagaanaa","21/8/18","Manal","1",263,"20/9/18","2","M0057922-015 [*missing pages 1A,1B ] Image 134,135",NA,"Online",NA
"30","W1NLM29","I1NLM29","W1NLM29-I1NLM29","1","M0057923","skin cover","ཀླུ་གཏོར་མ་སོགས།","klu gtor ma sogs/",NA,"1 v.","manuscript",NA,"29x7","34.5x10.5",NA,NA,"Zulaa","21/8/18","Otgoo","1",116,"19/9/18","1",NA,NA,"Online",NA
"31","W1NLM30","I1NLM30","W1NLM30-I1NLM30","1","M0057924","n/a","རྗེ་བཙུན་སེང་གེ་སྒྲ་ལ་བརྟེན་པའི་ཀླུ་དང་ས་བདག་གི་གཏོན་འགྲོལ་གྱི་ཆོ་གཉེར་བསྡུས་ནད་གཏོན་ཀུན་སེལ་ཕན་བདེའི་བདུད་རྩི་སོགས།","rje btsun seng ge sgra la brten pa'i klu dang sa bdag gi gton 'grol gyi cho gnyer bsdus nad gton kun sel phan bde'i bdud rtsi sogs/","dam tshig rdo rje/","1 v.","Block Print",NA,"19x6","25x8",NA,NA,"tsagaanaa","21/8/18","Otgoo","1",648,"21/9/18","1",NA,NA,"Online",NA
"32","W1NLM31","I1NLM31","W1NLM31-I1NLM31","1","M0057925","n/a","གསང་ཆེན་རྒྱུད་སྡེ་བཞིའི་ས་ལམ་གྱི་རྣམ་གཞག་རྒྱུད་གཞུང་གསལ་བྱེད།","gsang chen rgyud sde  bzhi'i sa lam gyi rnam gzhag rgyud gzhung gsal byed/","ngag dbang dpal ldan/","60 ff.","manuscript",NA,"29x6.5","35x9",NA,NA,"Zulaa","21/8/18","Manal","1",120,"20/9/18","2",NA,NA,"Online",NA
"33","W1NLM32","I1NLM32","W1NLM32-I1NLM32","1","M0057926","n/a","ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ཀུན་གྱི་སྐྱབས་གཅིག་པུ་རྒྱལ་བ་བྱམས་པ་མགོན་པོ་ལ་སྨྲེ་སྔགས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ཚངས་པའི་ཅོད་པན་སོགས།","lha dang bcas pa'i 'jig rten kun gyi skyabs gcig pu rgyal ba byams pa mgon po la smre sngags kyi sgo nas bstod pa tshangs pa'i cod pan sogs/",NA,"1 v.","manuscript",NA,"28x7","34.5x10",NA,NA,"Zulaa","21/8/18","Manal","1",209,"20/9/18","2",NA,NA,"Online",NA
"34","W1NLM33","I1NLM33","W1NLM33-I1NLM33","1","M0057927","n/a","འབྱུང་བ་ཀུན་འདུས་ཀྱི་གཙུག་ལག་གསལ་བར་བྱེད་པ་གསོན་ས་རྩི་ཞེ་བདུན་མའི་མགོ་ཁ་དམར་དང་བཅས་པ་སོགས།","byung ba kun 'dus kyi gtsug lag gsal bar byed pa gson sa rtsi zhe bdun ma'i mgo kha dmar dang bcas pa sogs/",NA,"1 v.","manuscript",NA,"25x6.5","31.5x9",NA,NA,"Zulaa","21/8/18","Manal","1",202,"21/9/18","2",NA,NA,"Online",NA
"35","W1NLM34","I1NLM34","W1NLM34-I1NLM34","1","M0057928","n/a","རྒྱལ་བ་ཀུན་གྱི་རིགས་བདག་མི་བསྐྱོད་པའི་བསྒོམ་བཟླས་བྱ་ཚུལ་ཁྱེར་བདེ་བ་དངོས་གྲུབ་ཀུན་འབྱུང་སོགས།","rgyal ba kun gyi rigs bdag mi bskyod pa'i bsgom bzlas bya tshul khyer bde ba dngos grub kun 'byung sogs/","dpal mgon bzhad pa'i rdo rje/","1 v.","manuscript",NA,"18x5.5","20x7.5",NA,NA,"tsagaanaa","22/8/18","Manal","1",108,"21/9/18","2",NA,NA,"Online",NA
"36","W1NLM35","I1NLM35","W1NLM35-I1NLM35","1","M0057929","n/a","བཀའ་དྲིན་གསོལ་འདེབས་ཐུགས་རྒྱུད་བསྐུལ་བའི་གདུང་དབྱངས་སོགས།","bka' drin gsol 'debs thugs rgyud bskul ba'i gdung dbyangs sogs/",NA,"1 v.","manuscript",NA,"17.5x7","22x9",NA,NA,"Zulaa","22/8/18","Manal","1",272,"21/9/18","2",NA,NA,"Online",NA
"37","W1NLM36","I1NLM36","W1NLM36-I1NLM36","1","M0057930","n/a","རྟ་མགྲིན་གསང་སྒྲུབ་བཀའ་སྡོད་དང་བཅས་པ་མཆོད་ཅིང་བསྐང་བཤགས་བཟློག་པ་བྱ་བའི་ཆོ་ག་དངོས་གྲུབ་ཆར་འབེབས་སོགས།","rta mgrin gsang sgrub bka' sdod dang bcas pa mchod cing bskang bshags bzlog pa bya ba'i cho ga dngos grub char 'bebs sogs/","dkon mchog bstan pa'i sgron me/","1 v.","manuscript",NA,"27.5x5.5","32.5x8",NA,NA,"tsagaanaa","22/8/18","Manal","1",159,"24/9/18","2","M0057930-014 1A-6B [*Final pages are missing 7A] Image 159",NA,"Online",NA
"38","W1NLM37","I1NLM37","W1NLM37-I1NLM37","1","M0057931","n/a","རྨ་བྱའི་མིང་ཅན་རི་མཐོན་པོའི་བསང་མཆོད་འདོད་པའི་རེ་བསྐོང་གདུང་སེལ་ཟླ་འོད་སོགས།","rma bya'i ming can ri mthon po'i bsang mchod 'dod pa'i re bskong gdung sel zla 'od sogs/",NA,"1 v.","manuscript",NA,"13x5.5","17.5x7.5",NA,NA,"Zulaa","22/8/18","Otgoo","1",311,"21/9/18","1","M0057931-021 1A-3B [*Final pages are missing from 4A-4B] Image 171, 172;  M0057931-024 1A-6B [*missing page from 5A-5B] Image 217, 218;",NA,"Online",NA
"39","W1NLM38","I1NLM38","W1NLM38-I1NLM38","1","M0057932","n/a","མེ་ལྷ་རྒྱལ་པོའི་བསངས་སོགས།","me lha rgyal po'i bsangs sogs/","slob dpon pad+ma 'byung gnas/","1 v.","manuscript",NA,"19x6","22x8.5",NA,NA,"tsagaanaa","22/8/18","Otgoo","1",253,"24/9/18","1",NA,NA,"Online",NA
"40","W1NLM39","I1NLM39","W1NLM39-I1NLM39","1","M0057933","n/a","གསུང་ཐོར་བུ་ཕྱོགས་གཅིག་ཏུ་སྡེབས་པ།","gsung thor bu phyogs gcig tu sdebs pa/","dam pa'i ming can/","112 ff.","Block Print",NA,"18.5x5.5","26x8",NA,NA,"Zulaa","22/8/18","Manal","1",399,"24/9/18","2",NA,NA,"Online",NA
"41","W1NLM40","I1NLM40","W1NLM40-I1NLM40","1","M0057934","
n/a","སློབ་གཉེར་བྱེད་ཚུལ་གྱི་བསླབ་བྱ་ལེ་ཚན་གཉིས་སོགས།","
slob gnyer byed tshul gyi bslab bya le tshan gnyis sogs/","dkon mchog bstan pa'i sgron me/","1 v.","Block Print",NA,"18x5.5","22x9",NA,NA,"tsagaanaa","22/8/18","Otgoo","1",260,"24/9/18","1","M0057934-014 1A-10B [*missing pages from 3A-3B] Image 179, 180;  M0057934-017 1A-13B [*wrongly numbered 1A-1B it's page numbers should be 2A-2B*] Image 237, 238;",NA,"Online",NA
"42","W1NLM41","I1NLM41","W1NLM41-I1NLM41","1","M0057935","n/a","བཅོམ་ལྡན་འདས་སྨན་བླ་བདེ་གཤེགས་བརྒྱད་ཀྱི་སྒོ་ནས་ལྷོ་སྒོའི་ཆོ་གའི་ངག་འདོན་སོགས།","bcom ldan 'das sman bla bde gshegs brgyad kyi sgo nas lho sgo'i cho ga'i ngag 'don sogs/","dha rma swa mi/","1 v.","manuscript",NA,"18.5x5.5","22x9",NA,NA,"tsagaanaa","22/8/18","Manal","1",164,"25/9/18","2","M0057935-008 1A-13A [*missing page from 1A-3B] Image 139-144",NA,"Online",NA
"43","W1NLM42","I1NLM42","W1NLM42-I1NLM42","1","M0057936","n/a","རྡོ་རྗེ་མི་འཁྲུགས་པ་ལྷ་དགུའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ངན་སོང་ཚ་གདུང་ཀུན་སེལ་ག་བུར་གསར་པའི་ཆུ་རྒྱུན།","rdo rje mi 'khrugs pa lha dgu'i dkyil 'khor gyi cho ga ngan song tsha gdung kun sel ga bur gsar pa'i chu rgyun/",NA,"44 ff.","manuscript",NA,"29x7","33.5x9",NA,NA,"Zulaa","22/8/18","Otgoo","1",88,"24/9/18","1",NA,NA,"Online",NA
"44","W1NLM43","I1NLM43","W1NLM43-I1NLM43","1","M0057937","n/a","ལྷ་ཀླུ་གཞི་བདག་སོགས་ལ་ཇ་མཆོད་འབུལ་བའི་ཆོ་ག་བདེ་ལེགས་ཀུན་འབྱུང་སོགས།","lha klu gzhi bdag sogs la ja mchod 'bul ba'i cho ga bde legs kun 'byung sogs/","dge slong grags pa bshad sgrub/","1 v.","manuscript",NA,"15x4.5","17.5x7",NA,NA,"tsagaanaa","23/8/18","Otgoo","1",239,"25/9/18","1","M0057937-006 1A-3B [*Final pages are missing from 4A-4B*] Image 51, 52;",NA,"Online",NA
"45","W1NLM44","I1NLM44","W1NLM44-I1NLM44","1","M0057938","wooden cover","བཀའ་འགྱུར་གྱི་ནང་དུ་བཞུགས་པའི་འཕགས་པ་གསལ་ཞིང་ཡངས་པའི་སྣང་བརྒྱད་སོགས།","bka' 'gyur gyi du bzhugs pa'i 'phags pa gsal zhing yangs pa'i snang brgyad sogs/",NA,"1 v.","manuscript",NA,"28.5x7.5","34.5x10",NA,NA,"Zulaa","23/8/18","Manal","1",297,"25/9/18","2",NA,NA,"Online",NA
"46","W1NLM45","I1NLM45","W1NLM45-I1NLM45","1","M0057939","n/a","དཔལ་ཡེ་ཤེས་ཀྱིས་མཁའ་འགྲོ་མ་སེང་གེ་གདོང་པ་ཅན་གྱི་ཟོར་སོགས།","dpal ye shes kyis mkha' 'gro ma seng ge gdong pa can gyi zor sogs/",NA,"1 v.","manuscript",NA,"20.5x4","26x6",NA,NA,"tsagaanaa","23/8/18","Otgoo","1",90,"25/9/18","1",NA,NA,"Online",NA
"47","W1NLM46","I1NLM46","W1NLM46-I1NLM46","1","M0057940","paper cover","བཅོམ་ལྡན་འདས་ཐམས་ཅད་རིག་པའི་བུམ་ཆོག་ལྷ་ལྔ་མ་སོགས།","bcom ldan 'das thams cad rig pa'i bum chog lha lnga ma sogs/",NA,"1v.","Block Print",NA,"17.5x7","22x8.5",NA,NA,"Zulaa","23/8/18","Otgoo","1",444,"26/9/18","1","M0057940-004 1A-59B [*missing page from 11A-13B*] Images 128, 129, 130, 131, 132, 133;",NA,"Online",NA
